"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","tmsplitcheckcombined2.visib","wdsp","tmsplitcheckcombined2.Num_collision"
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,44.3,33.2,10,22.9,0.792857142857143
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,45.8,36.5,10,15.4,0.585714285714286
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,49.5,35.9,10,6,0.721428571428571
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,46.9,40,9.8,7.9,0.842857142857143
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,47.3,33.8,10,11.7,0.75
"103",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,49.6,39,10,13.4,0.878571428571429
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,53.4,49.8,5.6,9.3,0.728571428571429
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,49.1,31.2,10,13.4,0.45
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,48.4,36.3,10,9.2,0.528571428571429
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,46.8,42.8,9,9.4,0.635714285714286
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,45,36.9,10,7.8,0.664285714285714
"109",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,47.7,34.1,10,10.1,0.728571428571429
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,46.1,33.9,10,9.4,0.757142857142857
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,47.3,33.1,10,8.7,0.828571428571429
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,54.8,52.5,2.2,18.2,0.928571428571429
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,50.4,47.7,5,8.5,0.735714285714286
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,41.7,32.9,8.3,17.5,0.692857142857143
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,36.5,22.1,8.2,10.3,0.75
"116",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2016,45.2,36.3,9.7,6.1,0.614285714285714
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2016,51.3,48,4.9,10.6,0.985714285714286
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2016,48.2,45,8.2,9,0.892857142857143
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2016,47.3,43.5,7.9,12.8,0.8
"120",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2016,45.5,43.9,5.9,21.5,0.828571428571429
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,48.5,43.5,9.4,16.5,0.835714285714286
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2016,52.5,48.8,5.1,8.1,0.628571428571429
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2016,48.5,46.1,2.9,9.6,0.592857142857143
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2016,54,40.6,10,13.8,0.735714285714286
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2016,51.9,38.2,10,9,0.728571428571429
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2016,55.6,42.2,10,7.6,0.928571428571429
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2016,59.4,54,6.9,8.1,0.8
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2016,55.7,46.4,8.9,16.3,0.75
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2016,50.8,31.4,10,19.8,0.95
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2016,55,44.5,10,11.9,0.971428571428571
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2016,55.5,45.2,10,11,1
