"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","ttsplitcheckcombined2.visib","wdsp","Num_collision"
"157",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,62,56.1,10,8.3,0.929824561403509
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,63.4,58.5,10,8.2,0.707602339181287
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,64.9,60.9,9.8,9,0.543859649122807
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,66.8,64.5,2.8,12.1,0.906432748538012
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,69.7,63.8,8.4,10.2,0.760233918128655
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,69.5,64.6,6.1,9.9,0.783625730994152
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,65.5,64,3.1,5.4,0.795321637426901
"164",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,66.1,64.8,2.1,12.9,0.795321637426901
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,66.2,64.9,1.4,13.7,0.660818713450292
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,65.4,64.2,1.9,8.8,0.614035087719298
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,60.9,57,7,10.9,0.684210526315789
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,61.8,58.6,4.6,12.6,0.56140350877193
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,60.8,59.8,2,12.7,0.830409356725146
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,61.8,51,7.5,8.7,0.719298245614035
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,58.6,45.6,9.8,5.7,0.625730994152047
"172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,58.6,51,10,7.5,0.754385964912281
"173",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,56.1,53.2,7.7,11.8,0.953216374269006
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,62.3,59.6,4.8,19.1,0.596491228070175
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,63.6,57.2,6.9,8.1,0.631578947368421
